SAMPLE,EV1,EV37,GT011,GT023,GT195,GT211,GT271,GT310,GT575,GATA028,GATA053,GATA098,GATA417,GGAA520,TAA023,ZFX
IC-06-4,163171,195197,117127,125129,161173,112120,114116,106110,146154,207207,246258,112116,265265,215219,086095,245245
IC-06-5,173175,183201,117127,129129,173173,112116,114116,112124,154154,215235,246262,096112,213269,207219,000000,212245
IC-06-6,163169,193199,125127,129133,167169,106116,116120,112112,156158,227231,246262,096104,269269,207215,000000,212245
IC-06-7,169171,193197,125129,123129,161167,116120,114118,112112,154154,227227,246262,096100,273281,211223,086095,212245
IC-83-B6-01,157157,191201,123129,121123,167171,116120,114116,112112,154154,223223,246262,100112,229285,223223,086095,212245
IC-83-B6-04,165175,197197,119123,121129,173173,114116,108116,112124,154158,207227,258270,100108,229265,211219,104104,245245
IC-83-B6-07,173175,183187,129129,129133,161173,120122,116120,124126,152154,207211,246266,108108,221269,207215,095095,212245
IC-83-B6-20,157169,183197,119127,121127,161177,112120,108114,112112,154154,203211,246262,096100,225281,215223,086104,245245
IC-83-B6-21,169175,187187,119129,129135,161167,106114,114118,126126,154154,223231,246262,104108,233277,211219,086098,212245
IC-83-B6-22,159165,191199,123131,109123,161175,114120,108120,112114,152154,223227,246246,100104,229233,215219,095104,245245
IC-83-B6-23,157169,193197,127131,127127,161161,106120,114128,106114,154160,191227,246262,104104,269273,207219,086086,212245
IC-83-B6-24,157175,191213,119127,133133,161173,120120,118118,112112,146152,203231,262266,096108,217269,211223,086095,212245
IC-83-B6-25,159171,181187,127127,125127,169177,116120,108118,112126,152160,223231,246262,096108,261269,211215,095095,212245
IC-83-B6-26,169171,183197,123127,123129,161163,120120,114122,112126,154158,211227,262262,096104,241257,219227,095095,245245
IC-83-B6-27,157175,187197,127127,125129,161173,116116,116126,112112,152156,211231,246266,096108,213277,207207,101104,212245
IC-83-B6-29,157169,191193,117123,127129,161169,118120,116118,112112,152154,191207,246262,088092,233281,203219,086095,212245
IC-83-B6-30,157157,187193,123129,123133,163177,114116,114114,112112,158160,223227,262270,100108,265285,219227,086095,212245
IC-83-B6-31,159173,191199,119129,131131,173177,120122,116118,126126,154158,207231,246262,104104,261265,203219,086095,212245
IC-83-B6-32,169173,187193,117127,123127,173179,118122,116116,110110,152154,215215,246262,108112,221265,207219,086095,212245
IC-83-B6-33,163163,181199,129133,127129,171175,116120,114116,112112,150154,191207,246246,096104,265269,215223,095104,212245
IC-83-B6-34,157169,193199,125125,123127,161169,118120,114116,112126,154154,227231,246246,096100,225265,215223,086095,212245
IC-83-B6-35,157169,187193,129131,125127,161171,118120,118120,114126,154158,203231,262270,100100,261273,211215,086095,245245
IC-83-B6-36,173175,183195,127131,121131,167173,112120,116118,110112,154154,215223,246262,100116,285297,207219,086086,245245
IC-83-B6-37,157171,183187,127129,127129,161173,116120,114116,124126,146154,207227,246246,100100,265269,000000,086086,245245
IC-83-B6-38,157171,181193,125129,127135,171173,106120,116116,112112,152154,203207,246246,096104,265281,211227,095104,212245
IC-83-B6-39,169169,193193,125129,125127,161181,120122,116118,122126,146152,211239,258262,104116,265269,203219,086086,212245
IC-83-B6-40,165169,183193,129131,127129,161161,116120,114118,112126,152154,191211,000000,096112,225277,215219,095104,245245
IC-83-B6-41,159163,191193,123129,121129,161179,106112,108116,110112,152152,203207,246270,100116,213225,207219,095095,212245
IC-83-B6-42,157157,191193,119127,129129,161163,122122,108116,112112,000000,215235,246262,096116,000000,223223,086095,212245
IC-83-B6-43,157159,187193,123131,129129,161179,116124,114114,110112,154154,207227,246262,108120,269285,207211,086104,212245
IC-83-B6-44,157163,187187,129131,125131,173175,116120,112014,112122,152154,191211,246270,096108,269277,207227,095095,245245
IC-83-B6-45,157169,193197,117131,129129,171177,000000,114116,112114,152154,199207,258266,104108,261285,211219,098104,212245
IC-83-B6-46,157169,183193,117123,129129,173173,116118,116116,112112,154154,191227,262262,096108,229229,207219,086095,245245
IC-83-B6-47,169169,199201,129131,129131,173173,120120,118118,112112,152154,219231,246266,096104,221289,211211,098104,212245
IC-83-B6-48,169175,185193,129131,127129,167173,120124,114116,112112,152154,227227,246246,096104,225265,211211,095098,212245
IC-83-B6-49,157169,183191,119119,125129,171175,106110,116116,106110,152158,000000,262270,100108,229233,215215,101101,245245
IC-83-B6-50,157159,191193,129129,125129,161179,106114,114116,110112,154158,207235,246246,104104,265273,223227,095098,212245
IC-83-B6-51,157169,191201,123125,125129,171173,106116,114118,110126,152154,203223,262274,104108,225273,207219,092095,245245
IC-83-B6-52,157169,181197,119127,127129,175175,112120,116118,112124,154154,227231,262270,096108,225269,000000,086086,212245
IC-83-B8-01,161163,183211,125129,127133,173175,120120,116116,112126,152160,191211,000000,096104,229261,000000,095095,245245
IC-83-B8-02,157171,189195,127127,129133,173175,106116,116116,112126,154158,203231,246262,096096,261265,211215,086095,245245
IC-83-B8-03,169169,183193,127129,127129,161173,120120,114116,112112,146158,215219,246262,096100,265273,223223,095104,245245
IC-83-B8-04,157163,191193,123123,133133,171173,106120,116118,106112,154154,207223,262262,100108,265269,211227,086095,212245
IC-83-B8-05,159163,191197,127129,127133,177179,106116,116116,110112,152152,191203,246262,096108,265273,207223,086086,245245
IC-83-B8-06,157163,183191,119131,129133,000000,106120,116116,106110,152152,223231,270270,096104,225265,211227,095104,245245
IC-83-B8-07,157157,183193,127127,121129,173173,120122,114116,110114,146158,215231,246270,096104,229281,207215,086086,212245
IC-83-B8-08,159163,193195,123123,125127,173175,114120,114116,112114,152154,227227,262266,092100,225285,207219,086095,245245
IC-83-B8-09,159169,183187,125129,133133,171173,120122,116116,110114,154158,199227,246266,096100,269269,199227,086101,245245
IC-83-B8-12,163169,189193,129129,123123,161177,112120,114116,110112,152152,207227,000000,104104,225269,203211,086095,212245
IC-83-B8-13,157169,187199,123127,129133,175175,106112,116120,110112,152152,207219,262270,100104,233261,203211,101104,245245
IC-83-B8-14,157175,183193,127129,129129,175175,120120,116116,110126,152152,215227,246246,096104,221269,000000,095101,245245
IC-83-B8-15,157175,183193,127129,129129,175175,120120,116116,110126,152152,215227,246246,096104,221269,000000,095101,245245
IC-83-B8-16,169171,193197,119123,125129,169173,106116,114118,110112,154156,207223,262270,100104,269273,199207,095104,212245
IC-83-B8-17,163169,187201,119125,127129,171173,120120,114116,110112,154160,211215,246246,104104,265273,215215,101101,245245
